Polska nazwa,Angielska nazwa,Interakcje,Strona,
Cefepim,Cefepime,"Podczas terapii lekiem może dojść do zafałszowania wyników badań laboratoryjnych, istnieje ryzyko wystąpienia fałszywie dodatnich wyników pomiaru stężenia glukozy w moczu, które oznaczane są za pomocą metod redukcyjnych, dlatego też rekomenduje się stosowanie metod enzymatycznych.
",https://www.doz.pl//leki/w172-Cefepim,
Cefiksym,Cefixime,"Cefiksym nie oddziałuje w sposób negatywny na zdolność prowadzenia pojazdów i obsługiwania maszyn.
W trakcie zażywania cefiksymu może wystąpić nieprawdziwie dodatni wynik badania wykrywającego glukozę w moczu w przypadku, gdy używa się roztworów Benedicta lub Fehlinga lub test tabletkowy z siarczanem miedzi. W takim przypadku oznaczenie cukru w moczu należy wykonać z użyciem testów enzymatycznych z oksydazą glukozową.
",https://www.doz.pl//leki/w173-Cefiksym,
Cefoperazon,Cefoperazone,"Podczas leczenia nie wolno spożywać alkoholu. Zaobserwowano, że dochodzi do reakcji disulfiramowej, objawiającej się potliwością, zaczerwieniem twarzy, przyspieszoną pracą serca i bólem głowy. Jest to zaburzenie metabolizmu alkoholu, w wyniku którego dochodzi do zwiększenia stężenia w organizmie aldehydu octowego, który daje objawy zatrucia.
",https://www.doz.pl//leki/w174-Cefoperazon,
Cefotaksym,Cefotaxime,"Nie istnieją doniesienia, iż standardowe dawki cefotaksymu zaburzają zdolności psychomotoryczne. Pewne ryzyko występuje jednak u osób z niewydolnością nerek, którym podaje się wysokie dawki tego leku - może u nich wystąpić encefalopatia objawiająca się zaburzeniami świadomości, motoryki i drgawkami. W takim wypadku pacjent nie powinien prowadzić pojazdów ani obsługiwać maszyn.
Cefotaksym oraz inne leki z grupy cefalosporyn mogą powodować fałszywie dodatni wynik testu Coombsa oraz fałszywie dodatnie oznaczenia stężenia glukozy w moczu z użyciem niespecyficznych czynników redukcyjnych (nie dotyczy oznaczeń za pomocą testu oksydazowego).
",https://www.doz.pl//leki/w175-Cefotaksym,
Ceftazydym,Ceftazidime,"Brak jest typowych  badań dotyczących wpływu ceftazydymu na zdolność prowadzenia pojazdów oraz obsługiwania maszyn. Lek może powodować działania niepożądane takie jak np. zawroty głowy, które mogą niekorzystnie wpływać na zdolność prowadzenia pojazdów oraz obsługę maszyn.
Ceftazydym może wpływać na fałszywie dodatnie wyniki testów opartych na redukcji miedzi takich jak test Benedicta, test Fehlinga, Clinitest. 
",https://www.doz.pl//leki/w177-Ceftazydym,
Ceftolozan,Ceftolozane,"Stosowanie ceftolozanu wiąże się z ryzykiem otrzymania fałszywie dodatnich wyników testu Coombsa (test wykrywający/identyfikujący przeciwciała odpornościowe we krwi).
",https://www.doz.pl//leki/w178-Ceftolozan,
Ceftriakson,Ceftriaxone,"Leczenie ceftriaksonem może powodować zawroty głowy, które mogą mieć niekorzystny wpływ na prowadzenie pojazdów mechanicznych.
Ceftriakson może powodować fałszywie dodatni wynik testu na galaktozemię (wrodzona choroba metaboliczna, związana z zaburzeniami przemiany węglowodanów). Oznaczenie glukozy w moczu testami nieenzymatycznymi może być fałszywie dodatnie. Ceftriakson może powodować fałszywie dodatni wynik testu Coombsa (test stosowany w diagnostyce zakażeń) oraz zaniżać poziom glukozy we krwi w diagnostyce krwi.
",https://www.doz.pl//leki/w179-Ceftriakson,
Ceftybuten,Ceftibuten,"W przypadku ceftybutenu nie stwierdzono niekorzystnego wpływu na badania laboratoryjne jak test Coombsa. Wpływ ten był zauważalny dla innych cefalosporyn.
",https://www.doz.pl//leki/w180-Ceftybuten,
Cefuroksym,Cefuroxime,"Wchłanianie aksetylu cefuroksymu wzrasta, gdy jest on podany tuż po posiłku.
Wpływ na testy diagnostyczne:
",https://www.doz.pl//leki/w181-Cefuroksym,
Celekoksyb,Celecoxibum,"Posiłki bogate w tłuszcze mogą wydłużać proces wchłaniania celekoksybu. Wyższe dawki substancji leczniczej zaleca się przyjmować z posiłkiem. 
Substancja czynna może powodować podrażnienie i krwawienia z przewodu pokarmowego. W trakcie jednoczesnego spożywania znacznych ilości alkoholu istnieje ryzyko spotęgowania działań niepożądanych dotyczących układu pokarmowego.
",https://www.doz.pl//leki/w182-Celekoksyb,
Celiprolol,Celiprolol,"Pokarm zmniejsza dostępność biologiczną celiprololu.
Celiprolol może powodować wystąpienie pozytywnego testu na obecność leków we krwi, które przeprowadzane są przesiewowo u sportowców. W niektórych dyscyplinach sportowych stosowanie ß-adrenolityków jest niedozwolone.
",https://www.doz.pl//leki/w183-Celiprolol,
Cerebrolizyna,Cerebrolysin,"Badania nie wykazały, aby cerebrolizyna wpływała na zdolność prowadzenia pojazdów i obsługiwania maszyn. Jednakże zaleca się zachowanie ostrożności podczas terapii substancją.
",https://www.doz.pl//leki/w184-Cerebrolizyna,
Certolizumab,pegol,"Niektóre działania występujące podczas terapii mogę zaburzać zdolność prowadzenia pojazdów oraz obsługiwania maszyn.
Podawanie żywych  lub atenuowanych szczepionek w czasie terapii substancją jest przeciwwskazane, gdyż grozi rozwojem zakażeń ogólnoustrojowych, stanowiących zagrożenie dla życia chorego.
",https://www.doz.pl//leki/w185-Certolizumab_pegol,
Cerytynib,Ceritinib,"Pacjenci przyjmujący cerytynib nie powinni spożywać grejpfrutów (owoców oraz soku) i innych cytrusów. Mogą one wpływać na biodostępność leku (są inhibitorami enzymu CYP3A4).
Ziele dziurawca (Hypericum perforatum) może zmniejszać stężenie cerytynibu w surowicy - zmniejszać jego działanie.
",https://www.doz.pl//leki/w186-Cerytynib,
Cetuksymab,Cetuximab,"U niektórych pacjentów ma miejsce obniżenie koncentracji i reakcji.  Należy wtedy unikać prowadzenia pojazdów.
",https://www.doz.pl//leki/w188-Cetuksymab,
Cetyryzyna,Cetirizine,"Jednoczesne spożywanie pokarmu nie ma wpływu na całkowity stopień wchłonięcia leku. Może jednak wydłużać czas wchłaniania cetyryzyny z przewodu pokarmowego.
Substancja lecznicza nie nasila działania alkoholu. Jednak w przypadku jednoczesnego spożycia alkoholu może wystąpić ograniczenie koncentracji, czujności i refleksu.
Cetyryzyna może zatrzymać reakcję alergiczną w teście skórnym. Zalecane jest przerwanie stosowania leków antyhistaminowych trzy dni przed wykonaniem testu.
",https://www.doz.pl//leki/w189-Cetyryzyna,
Chinagolid,Quinagolide,"Alkohol nasila sedacyjne, nasenne działanie leku.
",https://www.doz.pl//leki/w190-Chinagolid,
Chinapryl,Quinapril,"Dieta bogata w sól (wysokosodowa) może osłabić działanie hipotensyjne (obniżające ciśnienie) chinaprylu. 
Alkohol osłabia hipotensyjne działanie chinaprylu. Nie należy spożywać alkoholu podczas terapii lekiem. 
Chinapryl wpływa na wyniki badań dotyczące oznaczania stężenia kreatyniny i azotu mocznikowego we krwi. Stosowanie chinaprylu zwiększa ich stężenie. 
",https://www.doz.pl//leki/w191-Chinapryl,
Chlorambucyl,(Chlorambucil),"Pokarm zmniejsza biodostępność chlorambucylu.
Nie należy podawać pacjentom żywych szczepionek w okresie terapii, ze względu na ryzyko rozwoju zagrażających życiu zakażeń.
",https://www.doz.pl//leki/w192-Chlorambucyl_Chlorambucil,
Chlorek,benzoksoniowy,"Alkohol zwiększa wchłanianie chlorku benzoksoniowego.
",https://www.doz.pl//leki/w194-Chlorek_benzoksoniowy,
Chlorek,cetylopirydyniowy,"Mleko zmniejsza siłę działania przeciwbakteryjnego chlorku cetylopirydyniowego.
Alkohol zwiększa wchłanianie chlorku cetylopirydyniowego.
",https://www.doz.pl//leki/w195-Chlorek_cetylopirydyniowy,
Chlorek,magnezu,"Pokarmy bogate w kwasy organiczne, jak kwas szczawiony, galusowy, fitynę, fosforany, wapń i tłuszcze zmniejszają wchłanianie magnezu.
Nadmierne picie alkoholu sprzyja niedoborom magnezu.
",https://www.doz.pl//leki/w1303-Chlorek_magnezu,
Chlorek,potasu,"Chlorek potasu należy przyjmować w trakcie lub po posiłku popijając dużą ilością wody. Dieta bogata w sód zwiększa wydalanie potasu z moczem. Pokarmy bogate w potas to banany, pomidory, sok pomarańczowy, oraz na przykład przetwory z mniszka lekarskiego.
Roztwory chlorku potasu podawane dożylnie wykazują niezgodności fizyczne z roztworami amikacyny, amfoterycyny B, dobutaminy, mannitolu, ergotaminy, diazepamu, amoksycyliny, etopozydu z cisplatyną, fenytoiny, prometazyny oraz roztworem soli sodowej penicyliny G i emulsjami tłuszczowymi. Nie należy ich podawać w jednym wlewie.
",https://www.doz.pl//leki/w1304-Chlorek_potasu,
Chlorek,sodu,"Chlorek sodu nie wpływa na zdolność do prowadzenia pojazdów oraz obsługę maszyn w ruchu. 
",https://www.doz.pl//leki/w199-Chlorek_sodu,
Chlorek,wapnia,"Lek nie jest zalecany do stosowania przez kobiety ciężarne, przenika bowiem przez łożysko. Należy rozważyć czy konieczność zastosowania leku i jego efekty terapeutyczne (skuteczność) przewyższają ryzyko dla płodu.
",https://www.doz.pl//leki/w200-Chlorek_wapnia,
Chlorheksydyna,Chlorhexidine,"Płyny do płukania jamy ustnej zawierające chlorheksydynę powinny być stosowane w odstępie przynajmniej 30 minut od spożytego posiłku. Lek może wpływać na smak potraw i płynów. 
Skuteczność przeciwdrobnoustrojowa chlorheksydyny maleje w przypadku stosowania leku z mydłami, środkami powierzchniowo czynnymi (laurylosiarczan sodu) i z jonami chlorkowymi. 
",https://www.doz.pl//leki/w201-Chlorheksydyna,
Chlormadinon,Chlormadinone,"Alkohol nasila przemiany metaboliczne chlormadinonu, co może powodować zmniejszenie efektu terapeutycznego leku. 
Ziele dziurawca zwyczajnego Hypericum perforatum zwiększa metabolizm chlormadinonu. Podobnie działa jeżówka purpurowa Echinacea purpurea. Połączenie leku z tymi ziołami może zmniejszać jego efekt terapeutyczny.
",https://www.doz.pl//leki/w202-Chlormadinon,
Chlorochina,Chloroquine,"Stosowanie chlorochiny z cytryną, hibiskusem i owocami tamaryndowca może wpływać na osłabienie skuteczności substancji czynnej.
Przy długotrwałym należy unikać nasłonecznienia i naświetlania promieniami UV. Chlorochina może powodować reakcje nadwrażliwości na światło.
",https://www.doz.pl//leki/w204-Chlorochina,
Chlorochinaldol,Chlorquinaldol,"Nie należy stosować tabletek do ssania z chlorochinaldolem podczas posiłków, ponieważ zmniejsza to siłę działania leku.
",https://www.doz.pl//leki/w205-Chlorochinaldol,
Chlorodiazepoksyd,Chloradiazepoxide,"Alkohol nasila działanie leku i może spowodować zarówno zwiększoną senność jak i nadmierne pobudzenie, zaburzenia koncentracji i zaburzenia ruchowe. Stąd też spożywanie alkoholu w trakcie terapii chlorodiazepoksydem jest przeciwskazane.
",https://www.doz.pl//leki/w206-Chlorodiazepoksyd,
Chloroprokaina,Chloroprocaine,"Chloroprokaina w znaczny sposób upośledza zdolność reakcji i  wywiera wpływ na zdolność prowadzenia pojazdów oraz obsługiwania maszyn. O możliwości podejmowania takich czynności decyduje lekarz w odniesieniu do indywidualnego pacjenta. 
",https://www.doz.pl//leki/w208-Chloroprokaina,
Chlorotalidon,Chlorthalidone,"Powinien być przyjmowany rano z posiłkiem.
Nie należy stosować z alkoholem, gdyż alkohol może dodatkowo obniżyć ciśnienie tętnicze.
Jednocześnie stosowanie niektórych niesteroidowych leków przeciwzapalnych (NLPZ) jak indometacyna może osłabić działanie moczopędne i hipotensyjne chlorotalidonu. Niektóre leki cholinolityczne takie jak alkaloidy tropanowe i ich pochodne, np. atropina, skopolamina poprzez zwolnienie pracy przewodu pokarmowego mogą zwiększyć biodostępność tiazydu. Jednoczesne podawanie cyklosporyny może zwiększać stężenie kwasu moczowego we krwi i wywoływać powikłania dnopodobne.
",https://www.doz.pl//leki/w209-Chlorotalidon,
Chlorpromazyna,Chlorpromazine,"
        Działa niepożądane zostały podzielone ze względu na częstotliwość występowania u pacjentów. (Klasyfikacja MdDRA)
    
",https://www.doz.pl//leki/w211-Chlorpromazyna,
Chlorprotiksen,Chlorprothixene,"Nie należy łączyć chlorprotiksenu i alkoholu ze względu na potęgowanie działania upośledzającego czynność ośrodkowego układu nerwowego.
Chlorprotiksen może prowadzić do uzyskania fałszywie pozytywnego wyniku testu ciążowego, błędnego wykrycia obecności bilirubiny w moczu, a także zmian w zapisie EKG.
",https://www.doz.pl//leki/w212-Chlorprotiksen,
Chondroityna,Chondroitin,"Chondroityna nie wpływa na zdolność prowadzenia pojazdów i obsługi maszyn.
",https://www.doz.pl//leki/w214-Chondroityna,
Choriogonadotropina,alfa,"Podanie choriogonadotropiny alfa powoduje fałszywie dodatni wynik testów ciążowych do 10 dni od wstrzyknięcia, na skutek wzrostu stężenia we krwi i moczu hormonu gonadotropiny kosmówkowej (HCG).
",https://www.doz.pl//leki/w215-Choriogonadotropina_alfa,
Cilazapryl,Cilazapril,"Posiłki nie mają istotnego wpływu na wchłanianie cilazaprylu. Wykazano że zażycie leku bezpośrednio po posiłku powoduje spowolnienie wchłaniania cilazaprylu o godzinę i zmniejsza biodostępność aktywnego metabolitu- cilazaprylatu średnio o 14%. Nie odgrywa to jednak znaczącej roli w efekcie terapeutycznym leku. 
Alkohol nasila hipotensyjne działanie cilazaprylu.
Cilazapry może wpływać na wyniki badań diagnostycznych dotyczących oznaczania stężenia enzymów wątrobowych. Lek zwiększa stężenie aminotransferazy alaninowej, aminotransferazy asparaginianowej i bilirubiny w surowicy krwi.
",https://www.doz.pl//leki/w216-Cilazapryl,
Cilostazol,Cilostazol,"Przyjmowanie leku z posiłkiem zwiększa częstość działań niepożądanych na skutek wzrostu stężenia leku w osoczu.
Spożycie dużych ilości soku grejpfrutowego może wpłynąć na zwiększenie aktywności farmakologicznej i działań niepożądanych cilostazolu.
 
Palenie tytoniu może powodować obniżenie stężenia cilostazolu w osoczu krwi (o 18%).
Nie można wykluczyć wpływu ziela dziurawca na zmianę farmakokinetyki cilostazolu i osłabienie skuteczności działania przeciwpłytkowego.
",https://www.doz.pl//leki/w217-Cilostazol,
Ciprofibrat,Ciprofibrate,"Nie zaleca się stosowania ciprofibratu w połączeniu z alkoholem ze względu na ryzyko wystąpienia lub nasilenia miopatii, rabdomiolizy, mioglobuliurii oraz uszkodzenia wątroby.
Podczas stosowania ciprofibratu obserwowano reakcje nadwrażliwości na światło.
",https://www.doz.pl//leki/w218-Ciprofibrat,
Ciprofloksacyna,Ciprofloxacin,"Zaleca się stosowanie ciprofloksacyny podczas posiłku lub bezpośrednio po nim, popijając dużą ilością wody. Nie zaleca się popijania mlekiem, bądź jogurtem, ze względu na możliwe zmniejszenie wchłaniania leku z przewodu pokarmowego.
Alkohol obciąża organizm i zmniejsza siły obronne organizmu podczas walki z chorobą, dlatego jeśli to możliwe należy powstrzymać się od spożywania alkoholu podczas terapii ciprofloksacyną.
Wrażliwość na światło
",https://www.doz.pl//leki/w219-Ciprofloksacyna,
Cisatrakurium,Cisatracurium,"Nie należy prowadzić pojazdów mechanicznych po podaniu cisatrakurium.
W badaniach laboratoryjnych na zwierzętach laudanozyny - metabolitu cisatrakurium obserwowano przemijający spadek ciśnienia krwi, a także wzmożenie efektów pobudzeniowych mózgu.
",https://www.doz.pl//leki/w220-Cisatrakurium,
Cisplatyna,Cisplatin,"W celu zminimalizowania nudności oraz wymiotów po przyjmowaniu cisplatyny zalecane jest spożywanie małych porcji pożywienia kilka razy dziennie.
Cisplatyna może mieć wpływ na czynności krwiotwórcze (ilość erytrocytów, płytek krwi oraz limfocytów), poziom elektrolitów w osoczu (magnez, sód, potas, wapń), poziom kreatyniny i mocznika, stężenie albuminy. Cisplatyna może powodować nadwrażliwość i reakcje anafilaktoidalne u osób wrażliwych na platynę. 
",https://www.doz.pl//leki/w221-Cisplatyna,
Citalopram,Citalopram,"Pomimo braku potwierdzenia interakcji citalopramu z alkoholem, nie zaleca się łączenia alkoholu z lekami z grupy selektywnych inhibitorów wychwytu zwrotnego serotoniny.
Ziele dziurawca (Hypericum perforatum) wpływa na częstość występowania działań niepożądanych citalopramu.
",https://www.doz.pl//leki/w222-Citalopram,
Cyklezonid,Ciclesonide,"Ryzyko lub nasilenie podrażnienia przewodu pokarmowego może zwiększyć się, gdy cyklezonid jest stosowany w połączeniu z kwasem eikozapentaenowy (EPA), należącym do kwasów omega-3 i występującym w tłustych rybach, np. łososiu, a także w suplementach zawierających oleje z ryb.
Połączenie cyklezonidu i fenyloalaniny może powodować nasilenie działań niepożądanych.
",https://www.doz.pl//leki/w224-Cyklezonid,
Cyklofosfamid,Cyclophosphamide,"Cyklofosfamid w postaci tabletek drażowanych należy przyjmować podczas posiłku, aby ograniczyć drażniące działanie leku na błonę przewodu pokarmowego.
Alkohol nasila działanie niepożądane cyklofosfamidu ze strony przewodu pokarmowego takie jak nudności i wymioty. Badania z wykorzystaniem zwierząt laboratoryjnych wykazały zmniejszenie skuteczności cyklofosfamidu w połączeniu z alkoholem (przy niskich dawkach leku).
Terapia cyklofosfamidem wpływa na wyniki licznych badań diagnostycznych. Cyklofosfamid działa na układ sercowo-naczyniowy wpływając na obraz EKG mięśnia sercowego (obniżenie frakcji wyrzutowej lewej komory serca) i pomiar ciśnienia krwi.
",https://www.doz.pl//leki/w225-Cyklofosfamid,
Cyklosporyna,Cyclosporine,"Należy unikać łączenia cyklosporyny z sokiem grejpfrutowym ze względu na zmniejszenie metabolizmu leku i ryzyko nasilenia działań niepożądanych (bóle głowy, mięśni, drżenie kończyn, drgawki, wzrost ciśnienia).
Podczas leczenia cyklosporyną wskazane jest ograniczenie posiłków bogatotłuszczowych, ponieważ lek ten zwiększa stężenie lipidów we krwi. Należy również ograniczyć spożywanie produktów z dużą zawartością potasu, ponieważ może to prowadzić do hiperkaliemii, która objawia się bólem głowy, zaburzoną pracą serca, mrowieniem mięśni, brakiem koordynacji ruchowej.
Ziele dziurawca może nasilać metabolizm cyklosporyny zmniejszając jej stężenie, a tym samym skuteczność terapeutyczną leku.
Zmniejszenie metabolizmu cyklosporyny i zwiększenie jej stężenia obserwowane jest przy jednoczesnym stosowaniu z ostropestem plamistym, jeżówką purpurową, żeń-szeniem oraz żurawiną.
Nadmierna ekspozycja na słońce podczas leczenia cyklosporyną może zwiększać ryzyko rozwoju nowotworu.
 
",https://www.doz.pl//leki/w227-Cyklosporyna,
Cynakalcet,Cinacalcet,"Przyjmowanie cynakalcetu z posiłkiem lub wkrótce po nim zwiększa biodostępność produktu o 50-80%.
",https://www.doz.pl//leki/w228-Cynakalcet,
Cynaryzyna,Cinnarizine,"Lek należy stosować po posiłku aby zapobiec podrażnieniu żołądka.
Jednoczesne stosowanie cynaryzyny z alkoholem może powodować nasilenie działania uspokajającego.
Ze względu na działanie przeciwhistaminowe cynaryzyny przed wykonaniem skórnych testów alergicznych lek należy odstawić na cztery dni przez wykonaniem powyższych testów.
",https://www.doz.pl//leki/w229-Cynaryzyna,
Cynchokaina,Cinchocaine,"Cynchokaina nasila depresyjny (hamujący) wpływ alkoholu na ośrodkowy układ nerwowy.
Nasilenie ryzyka działań niepożądanych przy połączeniu cynchokainy z dziurawcem zwyczajnym Hypericum perforatum.
",https://www.doz.pl//leki/w230-Cynchokaina,
Cyproheptadyna,Cyproheptadine,"Lek nie powinien być stosowany z alkoholem, gdyż nasila on depresyjny wpływ na ośrodkowy układ nerwowy.
W przypadku pacjentów poddawanych badaniom moczu na obecność trójpierścieniowych leków przeciwdepresyjnych (TLPD), cyproheptadyna może być przyczyną wyniku fałszywie dodatniego.
",https://www.doz.pl//leki/w231-Cyproheptadyna,
Cyproteron,Cyproterone,"W trakcie terapii cyproteronem należy unikać spożywania soku grapefruitowego, gdyż może on spowodować zwiększenie stężenia leku w organizmie.
Spożywanie alkoholu w trakcie leczenia cyproteronem może osłabić działanie leku.
",https://www.doz.pl//leki/w232-Cyproteron,
Cytarabina,Cytarabine,"Ze względu na możliwość pojawienia się działań niepożądanych ze strony OUN nie jest wskazane prowadzenie pojazdów i obsługiwanie urządzeń mechanicznych.
Immunosupresyjne działanie cytarabiny powoduje zwiększone ryzyko wystąpienia infekcji o ciężkim przebiegu, prowadzącym nawet do zgonu.
",https://www.doz.pl//leki/w233-Cytarabina,
Cytrynian,magnezu,"Cytrynian magnezu nie powoduje objawów wpływających na zdolność prowadzenia pojazdów i obsługiwania maszyn.
",https://www.doz.pl//leki/w1305-Cytrynian_magnezu,
Cytrynian,potasu,"Należy ograniczyć stosowanie pokarmów bogatych w potas (pomidory, pomarańcze, kompoty owocowe). Zaleca się podawać lek po jedzeniu, aby ograniczyć ewentualne podrażnienia przewodu pokarmowego.
W czasie leczenia cytrynianem potasu nie należy spożywać napojów alkoholowych.
",https://www.doz.pl//leki/w1306-Cytrynian_potasu,
Cytykolina,Citicoline,"Lek może być przyjmowany zarówno na pusty żołądek jak i z posiłkiem.
Najnowsze badania udowodniły korzystny wpływ cytykoliny na objawy pogorszonej koncentracji u osób uzależnionych od alkoholu i cierpiących na poalkoholowy zespół odstawiennny.
",https://www.doz.pl//leki/w234-Cytykolina,
Cytyzyna,Cytisine,"Cytyzyna nie wpływa na zdolność prowadzenia pojazdów.
",https://www.doz.pl//leki/w235-Cytyzyna,
Cyzapryd,Cisapride,"Podczas terapii cyzaprydem należy ograniczyć spożywanie grejpfrutów. Nie należy popijać substancji sokiem grejpfrutowym, gdyż może zwiększać ryzyko działań niepożądanych cyzaprydu. 
Pacjenci przyjmujący cyzapryd nie powinni jednocześnie spożywać alkoholu, ze względu na zdolność cyzaprydu do zwiększania stężenia alkoholu we krwi, które może objawiać się nadmiernym uspokojeniem, obniżoną koncentracją oraz zaburzeniem koordynacji ruchowej.
",https://www.doz.pl//leki/w236-Cyzapryd,
Dabigatran,Dabigatran,"Brak jednoznacznych danych o interakcji dabigatranu z alkoholem. Należy spodziewać się, że jednoczesne spożywanie alkoholu może zwiększyć ryzyko krwawień.
Ziele dziurawca (Hypericum perforatum) może zmniejszać stężenie dabigatranu, a tym samym jego skuteczność. 
",https://www.doz.pl//leki/w237-Dabigatran,
Dabrafenib,Dabrafenib,"Dabrafenib należy przyjmować godzinę przed lub dwie godziny po posiłku. Należy unikać spożywania grejpfruta i soku grejpfrutowego.
Dabrafenibu nie należy łączyć z preparatami z dziurawca, ze względu na obniżenie stężenia i skuteczności dabrafenibu. 
",https://www.doz.pl//leki/w238-Dabrafenib,
Dakarbazyna,Dacarbazine,"Nie należy łączyć dakarbazyny i alkoholu ze względu na wzrost działania toksycznego na wątrobę.
Jednoczesne stosowanie radioterapii nasila działanie uszkadzające komórki szpiku.
",https://www.doz.pl//leki/w239-Dakarbazyna,
Daklataswir,Daclatasvir,"Daklataswir można zażywać z pokarmem lub bez. Spożyty posiłek w sposób nieznaczny działa na farmakokinetykę leku (stężenie maksymalne leku i AUC).
Jeżówka purpurowa Echinacea purpurea nasila przemiany metaboliczne daklataswiru, co może być powodem zmniejszonego stężenia leku w surowicy krwi i zmniejszeniem efektu terapeutycznego. Podobnie działa ziele dziurawca zwyczajnego Hypericum perforatum.
",https://www.doz.pl//leki/w240-Daklataswir,
Daklizumab,Daclizumab,"Daklizumab nie ma wpływu na zdolność prowadzenia pojazdów oraz obługę maszyn.
Przeciwwskazane jest stosowanie żywych szczepionek u pacjentów leczonych przy pomocy daklizumabu. Szczepienie żywymi szczepionkami jest możliwe po czterech miesiącach od zakończenia leczenia daklizumabem.
",https://www.doz.pl//leki/w241-Daklizumab,
Dalteparyna,Dalteparin,"Nie ma dowodów, żeby dalteparyna wchodziła w interakcje z pożywieniem.
Odnotowano, że dalteparyna wykazuje interakcje z alkoholem. Należy zatem zachować ostrożność, podczas stosowania preparatów z dalteparyną oraz spożywaniu alkoholu.
U pacjentów leczonych dalteparyną wzrasta ryzyko hiperkaliemii. Należy kontrolować stężenie potasu w osoczu przed rozpoczęciem stosowania heparyny, a w dalszej terapii regularnie je monitorować u pacjentów z grupy ryzyka, szczególnie jeśli leczenie trwa dłużej niż 7 dni.
",https://www.doz.pl//leki/w243-Dalteparyna,
Danazol,Danazol,"Podanie danazolu z posiłkiem bogatotłuszczowym zwiększa biodostępność leku.
Spożywanie alkoholu podczas terapii danazolem może prowadzić do nudności i płytkiego oddechu.
Przyjmowanie danazolu może wpływać na wyniki oznaczania stężenia testosteronu we krwi oraz białek osocza.
",https://www.doz.pl//leki/w244-Danazol,
Dapagliflozyna,Dapagliflozin,"Pacjent stosujący dapagliflozynę musi być świadomy ryzyka wystąpienia hipoglikemii, która może upośledzać zdolność oceny sytuacji, refleks i prowadzić do utraty przytomności. Szczególną ostrożność powinny zachować osoby stosujące jednocześnie insulinę lub pochodne sulfonylomocznika.
",https://www.doz.pl//leki/w245-Dapagliflozyna,
Dapoksetyna,Dapoxetine,"Wysokotłuszczowy posiłek może w niewielkim stopniu zwiększać ekspozycję na dapoksetynę i jednocześnie opóźniać osiągnięcie stężenia maksymalnego oraz zmniejszać jego wartość. Interakcja ta nie jest istotna klinicznie.
Nie należy łączyć dapoksetyny i alkoholu ze względu na ryzyko nasilenia działań niepożądanych, w tym zawrotów głowy i niepożądanych działań neurokardiogennych.
Ziele dziurawca (Hypericum perforatum) może zwiększyć ryzyko zespołu serotoninowego.
",https://www.doz.pl//leki/w246-Dapoksetyna,
Dapson,Dapsone,"Dapson może wydłużać czas reakcji kierowcy. Zaleca się zachowanie ostrożności podczas terapii dapsonem.
",https://www.doz.pl//leki/w1355-Dapson,
Daptomycyna,Daptomycin,"Daptomycyna nie wpływa ujemnie na zdolność obsługi maszyn i prowadzenia pojazdów mechanicznych.
Podczas terapii daptomycyną możliwe jest pozorne wydłużenie czasu protrombinowego (PT) oraz spotęgowana wartość współczynnika znormalizowanego międzynarodowego (INR) w sytuacji, gdy w testach użyto pewnych odczynników zawierających rekombinowaną tromboplastynę.
",https://www.doz.pl//leki/w247-Daptomycyna,
Daratumumab,Daratumumab,"Daratumumab ulega wiązaniu z CD38, obecnym w niewielkich ilościach na krwinkach czerwonych, przez co może wpływać na wynik pośredniego testu Coombs’a. Dodatni wynik testu może utrzymywać się do sześciu miesięcy od ostatniego podania substancji.
",https://www.doz.pl//leki/w248-Daratumumab,
Darbepoetyna,alfa,"Darbepoetyna alfa ma nieistotny wpływ na zdolność prowadzenia pojazdów i obsługiwania maszyn.
",https://www.doz.pl//leki/w249-Darbepoetyna_alfa,
Darunawir,Darunavir,"Podczas stosowania darunawiru wzmocnionego rytonawirem lub kobicystatem mogą pojawić się zawroty głowy, co może w pewien sposób upośledzać zdolność do prowadzenia pojazdów mechanicznych i obsługi maszyn.
Stosowanie równocześnie produktów zawierających wyciąg z dziurawca powoduje osłabienie działania darunawiru.
",https://www.doz.pl//leki/w250-Darunawir,
Daryfenacyna,Darifenacin,"Pokarm nie wpływa na farmakokinetykę daryfenacyny podawanej w doustnej postaci o przedłużonym uwalnianiu.
Sok grejpfrutowy i preparaty dziurawca mogą zmieniać metabolizm daryfenacyny.
",https://www.doz.pl//leki/w251-Daryfenacyna,
Dasatynib,Dasatinib,"Podczas leczenia dasatynibem należy unikać spożywania grejpfrutów oraz soku grejpfrutowego.
Podczas leczenia dasatynibem należy unikać stosowania ziela dziurawca oraz jego przetworów.
",https://www.doz.pl//leki/w252-Dasatynib,
Dazabuwir,Dasabuvir,"Dziurawiec zwyczajny, jako induktor enzymu CYP34A, zmniejsza stężenie dazabuwiru w osoczu, co w konsekwencji osłabia jego działanie.
",https://www.doz.pl//leki/w253-Dazabuwir,
Decytabina,Decitabine,"Przyjmowanie decytabiny może wywoływać zmęczenie i osłabienie. Jeśli takie objawy wystąpią należy powstrzymać się od prowadzenia pojazdów czy obsługi maszyn.
Decytabina obniża skuteczność szczepień ochronnych, w tym przeciwko wirusowi grypy i SARS-CoV2.
",https://www.doz.pl//leki/w254-Decytabina,
Deferazyroks,Deferasirox,"Deferazyroks może zwiększać działanie kofeiny oraz stężenie substancji we krwi. 
",https://www.doz.pl//leki/w255-Deferazyroks,
